ID,Time,Biomarker,Measurement,Duration,Dose,Biomarker unit,Dose unit,Time unit
1,0.0,Bacterial count,222225.0,,,CFU/ml,ng,h
1,1.0,Bacterial count,400855.0,,,CFU/ml,ng,h
1,2.0,Bacterial count,1487240.0,,,CFU/ml,ng,h
1,3.0,Bacterial count,2208230.0,,,CFU/ml,ng,h
1,4.0,Bacterial count,3046306.0,,,CFU/ml,ng,h
1,5.0,Bacterial count,11994151.0,,,CFU/ml,ng,h
1,6.0,Bacterial count,47299184.0,,,CFU/ml,ng,h
1,7.0,Bacterial count,74284045.0,,,CFU/ml,ng,h
1,8.0,Bacterial count,46967557.0,,,CFU/ml,ng,h
1,9.0,Bacterial count,63550050.0,,,CFU/ml,ng,h
1,10.0,Bacterial count,199585023.0,,,CFU/ml,ng,h
1,11.0,Bacterial count,654633504.0,,,CFU/ml,ng,h
1,12.0,Bacterial count,265120770.0,,,CFU/ml,ng,h
1,13.0,Bacterial count,2485310898.0,,,CFU/ml,ng,h
1,14.0,Bacterial count,2609294840.0,,,CFU/ml,ng,h
1,15.0,Bacterial count,8066896096.0,,,CFU/ml,ng,h
1,16.0,Bacterial count,19867079006.0,,,CFU/ml,ng,h
1,17.0,Bacterial count,50326984923.0,,,CFU/ml,ng,h
1,18.0,Bacterial count,180922665440.0,,,CFU/ml,ng,h
1,19.0,Bacterial count,607705155028.0,,,CFU/ml,ng,h
1,20.0,Bacterial count,562375356155.0,,,CFU/ml,ng,h
1,21.0,Bacterial count,3263761219580.0,,,CFU/ml,ng,h
1,22.0,Bacterial count,1586565002250.0,,,CFU/ml,ng,h
1,23.0,Bacterial count,6488286202383.0,,,CFU/ml,ng,h
1,24.0,Bacterial count,19135535557208.0,,,CFU/ml,ng,h
1,25.0,Bacterial count,21747602410732.0,,,CFU/ml,ng,h
1,26.0,Bacterial count,24919074804687.0,,,CFU/ml,ng,h
1,27.0,Bacterial count,46681191008298.0,,,CFU/ml,ng,h
1,28.0,Bacterial count,138616141998215.0,,,CFU/ml,ng,h
1,29.0,Bacterial count,480055233000692.0,,,CFU/ml,ng,h
1,30.0,Bacterial count,437976754489087.0,,,CFU/ml,ng,h
1,31.0,Bacterial count,1656004726019937.0,,,CFU/ml,ng,h
1,32.0,Bacterial count,3703596324001781.0,,,CFU/ml,ng,h
1,33.0,Bacterial count,1.3057118745995786e+16,,,CFU/ml,ng,h
1,34.0,Bacterial count,2.2443576885000344e+16,,,CFU/ml,ng,h
1,35.0,Bacterial count,5.20183751032858e+16,,,CFU/ml,ng,h
1,36.0,Bacterial count,5.2295123275230776e+16,,,CFU/ml,ng,h
1,37.0,Bacterial count,1.5209080705263565e+17,,,CFU/ml,ng,h
1,38.0,Bacterial count,5.785430729947503e+17,,,CFU/ml,ng,h
1,39.0,Bacterial count,1.9047740477500204e+18,,,CFU/ml,ng,h
1,40.0,Bacterial count,5.5544974361436646e+17,,,CFU/ml,ng,h
1,4.0,,,6.0,150.0,,,h
1,19.0,,,6.0,150.0,,,h
1,34.0,,,6.0,150.0,,,h
2,0.0,Bacterial count,259197.0,,,CFU/ml,ng,h
2,1.0,Bacterial count,781494.0,,,CFU/ml,ng,h
2,2.0,Bacterial count,1197136.0,,,CFU/ml,ng,h
2,3.0,Bacterial count,824112.0,,,CFU/ml,ng,h
2,4.0,Bacterial count,8353224.0,,,CFU/ml,ng,h
2,5.0,Bacterial count,12380934.0,,,CFU/ml,ng,h
2,6.0,Bacterial count,11970741.0,,,CFU/ml,ng,h
2,7.0,Bacterial count,49274416.0,,,CFU/ml,ng,h
2,8.0,Bacterial count,79016383.0,,,CFU/ml,ng,h
2,9.0,Bacterial count,139899587.0,,,CFU/ml,ng,h
2,10.0,Bacterial count,215764488.0,,,CFU/ml,ng,h
2,11.0,Bacterial count,608847809.0,,,CFU/ml,ng,h
2,12.0,Bacterial count,517056395.0,,,CFU/ml,ng,h
2,13.0,Bacterial count,1646970821.0,,,CFU/ml,ng,h
2,14.0,Bacterial count,2831309755.0,,,CFU/ml,ng,h
2,15.0,Bacterial count,13009343070.0,,,CFU/ml,ng,h
2,16.0,Bacterial count,18984893572.0,,,CFU/ml,ng,h
2,17.0,Bacterial count,32490019897.0,,,CFU/ml,ng,h
2,18.0,Bacterial count,49811520507.0,,,CFU/ml,ng,h
2,19.0,Bacterial count,155326575982.0,,,CFU/ml,ng,h
2,20.0,Bacterial count,381999511565.0,,,CFU/ml,ng,h
2,21.0,Bacterial count,602087853949.0,,,CFU/ml,ng,h
2,22.0,Bacterial count,3396083971591.0,,,CFU/ml,ng,h
2,23.0,Bacterial count,5178159702107.0,,,CFU/ml,ng,h
2,24.0,Bacterial count,713109046325.0,,,CFU/ml,ng,h
2,25.0,Bacterial count,2353761523636.0,,,CFU/ml,ng,h
2,26.0,Bacterial count,15335177224698.0,,,CFU/ml,ng,h
2,27.0,Bacterial count,26885598878604.0,,,CFU/ml,ng,h
2,28.0,Bacterial count,89449316718516.0,,,CFU/ml,ng,h
2,29.0,Bacterial count,192764761377049.0,,,CFU/ml,ng,h
2,30.0,Bacterial count,1571956266956757.0,,,CFU/ml,ng,h
2,31.0,Bacterial count,353744948911010.0,,,CFU/ml,ng,h
2,32.0,Bacterial count,1277222391978230.0,,,CFU/ml,ng,h
2,33.0,Bacterial count,1.5012432602518422e+16,,,CFU/ml,ng,h
2,34.0,Bacterial count,1.2202165172466666e+16,,,CFU/ml,ng,h
2,35.0,Bacterial count,2.5204159862787424e+16,,,CFU/ml,ng,h
2,36.0,Bacterial count,2.1249121710911504e+16,,,CFU/ml,ng,h
2,37.0,Bacterial count,1.8053522012012816e+16,,,CFU/ml,ng,h
2,38.0,Bacterial count,1.1992745371789125e+17,,,CFU/ml,ng,h
2,39.0,Bacterial count,2.1394050395602214e+17,,,CFU/ml,ng,h
2,40.0,Bacterial count,1.5581516254046643e+17,,,CFU/ml,ng,h
2,4.0,,,6.0,300.0,,,h
2,19.0,,,6.0,300.0,,,h
2,34.0,,,6.0,300.0,,,h
3,0.0,Bacterial count,232297.0,,,CFU/ml,ng,h
3,1.0,Bacterial count,304951.0,,,CFU/ml,ng,h
3,2.0,Bacterial count,711401.0,,,CFU/ml,ng,h
3,3.0,Bacterial count,371477.0,,,CFU/ml,ng,h
3,4.0,Bacterial count,15622210.0,,,CFU/ml,ng,h
3,5.0,Bacterial count,19005372.0,,,CFU/ml,ng,h
3,6.0,Bacterial count,11535138.0,,,CFU/ml,ng,h
3,7.0,Bacterial count,40345568.0,,,CFU/ml,ng,h
3,8.0,Bacterial count,45497620.0,,,CFU/ml,ng,h
3,9.0,Bacterial count,40096518.0,,,CFU/ml,ng,h
3,10.0,Bacterial count,184682925.0,,,CFU/ml,ng,h
3,11.0,Bacterial count,132562823.0,,,CFU/ml,ng,h
3,12.0,Bacterial count,262507229.0,,,CFU/ml,ng,h
3,13.0,Bacterial count,398890570.0,,,CFU/ml,ng,h
3,14.0,Bacterial count,2041983514.0,,,CFU/ml,ng,h
3,15.0,Bacterial count,2981239995.0,,,CFU/ml,ng,h
3,16.0,Bacterial count,10096017901.0,,,CFU/ml,ng,h
3,17.0,Bacterial count,9727224625.0,,,CFU/ml,ng,h
3,18.0,Bacterial count,35113079043.0,,,CFU/ml,ng,h
3,19.0,Bacterial count,37157349226.0,,,CFU/ml,ng,h
3,20.0,Bacterial count,240277903850.0,,,CFU/ml,ng,h
3,21.0,Bacterial count,257550653936.0,,,CFU/ml,ng,h
3,22.0,Bacterial count,460107883131.0,,,CFU/ml,ng,h
3,23.0,Bacterial count,773360933184.0,,,CFU/ml,ng,h
3,24.0,Bacterial count,451548065423.0,,,CFU/ml,ng,h
3,25.0,Bacterial count,2496731542384.0,,,CFU/ml,ng,h
3,26.0,Bacterial count,10760733365079.0,,,CFU/ml,ng,h
3,27.0,Bacterial count,1624215214939.0,,,CFU/ml,ng,h
3,28.0,Bacterial count,3202622452527.0,,,CFU/ml,ng,h
3,29.0,Bacterial count,8013665398750.0,,,CFU/ml,ng,h
3,30.0,Bacterial count,89109212720054.0,,,CFU/ml,ng,h
3,31.0,Bacterial count,116698867727991.0,,,CFU/ml,ng,h
3,32.0,Bacterial count,489729498118308.0,,,CFU/ml,ng,h
3,33.0,Bacterial count,824312196156389.0,,,CFU/ml,ng,h
3,34.0,Bacterial count,1244147752475688.0,,,CFU/ml,ng,h
3,35.0,Bacterial count,2515749386795969.0,,,CFU/ml,ng,h
3,36.0,Bacterial count,3099672788658736.0,,,CFU/ml,ng,h
3,37.0,Bacterial count,1.0362100429624064e+16,,,CFU/ml,ng,h
3,38.0,Bacterial count,4065238278352974.0,,,CFU/ml,ng,h
3,39.0,Bacterial count,1.0533558565097602e+16,,,CFU/ml,ng,h
3,40.0,Bacterial count,2.6418020267755884e+16,,,CFU/ml,ng,h
3,4.0,,,6.0,625.0,,,h
3,19.0,,,6.0,625.0,,,h
3,34.0,,,6.0,625.0,,,h
4,0.0,Bacterial count,849225.0,,,CFU/ml,ng,h
4,1.0,Bacterial count,73487.0,,,CFU/ml,ng,h
4,2.0,Bacterial count,1272897.0,,,CFU/ml,ng,h
4,3.0,Bacterial count,1378950.0,,,CFU/ml,ng,h
4,4.0,Bacterial count,3228585.0,,,CFU/ml,ng,h
4,5.0,Bacterial count,6538636.0,,,CFU/ml,ng,h
4,6.0,Bacterial count,2467881.0,,,CFU/ml,ng,h
4,7.0,Bacterial count,10490280.0,,,CFU/ml,ng,h
4,8.0,Bacterial count,7905583.0,,,CFU/ml,ng,h
4,9.0,Bacterial count,171796982.0,,,CFU/ml,ng,h
4,10.0,Bacterial count,22643831.0,,,CFU/ml,ng,h
4,11.0,Bacterial count,21832114.0,,,CFU/ml,ng,h
4,12.0,Bacterial count,42663875.0,,,CFU/ml,ng,h
4,13.0,Bacterial count,66497448.0,,,CFU/ml,ng,h
4,14.0,Bacterial count,107307313.0,,,CFU/ml,ng,h
4,15.0,Bacterial count,366211360.0,,,CFU/ml,ng,h
4,16.0,Bacterial count,1452974538.0,,,CFU/ml,ng,h
4,17.0,Bacterial count,1893161846.0,,,CFU/ml,ng,h
4,18.0,Bacterial count,9443241819.0,,,CFU/ml,ng,h
4,19.0,Bacterial count,9069153811.0,,,CFU/ml,ng,h
4,20.0,Bacterial count,18116405993.0,,,CFU/ml,ng,h
4,21.0,Bacterial count,69829008552.0,,,CFU/ml,ng,h
4,22.0,Bacterial count,42000455172.0,,,CFU/ml,ng,h
4,23.0,Bacterial count,23579510593.0,,,CFU/ml,ng,h
4,24.0,Bacterial count,34159740330.0,,,CFU/ml,ng,h
4,25.0,Bacterial count,65182941613.0,,,CFU/ml,ng,h
4,26.0,Bacterial count,249719715702.0,,,CFU/ml,ng,h
4,27.0,Bacterial count,99111090453.0,,,CFU/ml,ng,h
4,28.0,Bacterial count,206165877722.0,,,CFU/ml,ng,h
4,29.0,Bacterial count,1043320516677.0,,,CFU/ml,ng,h
4,30.0,Bacterial count,596120381053.0,,,CFU/ml,ng,h
4,31.0,Bacterial count,1946868815251.0,,,CFU/ml,ng,h
4,32.0,Bacterial count,9556117432639.0,,,CFU/ml,ng,h
4,33.0,Bacterial count,16697826831732.0,,,CFU/ml,ng,h
4,34.0,Bacterial count,25609597376624.0,,,CFU/ml,ng,h
4,35.0,Bacterial count,65519972221109.0,,,CFU/ml,ng,h
4,36.0,Bacterial count,7515770511644.0,,,CFU/ml,ng,h
4,37.0,Bacterial count,134727272811649.0,,,CFU/ml,ng,h
4,38.0,Bacterial count,39414240051699.0,,,CFU/ml,ng,h
4,39.0,Bacterial count,27730619653146.0,,,CFU/ml,ng,h
4,40.0,Bacterial count,124416419396811.0,,,CFU/ml,ng,h
4,4.0,,,6.0,1250.0,,,h
4,19.0,,,6.0,1250.0,,,h
4,34.0,,,6.0,1250.0,,,h
5,0.0,Bacterial count,128950.0,,,CFU/ml,ng,h
5,1.0,Bacterial count,389075.0,,,CFU/ml,ng,h
5,2.0,Bacterial count,3044184.0,,,CFU/ml,ng,h
5,3.0,Bacterial count,3254911.0,,,CFU/ml,ng,h
5,4.0,Bacterial count,1404835.0,,,CFU/ml,ng,h
5,5.0,Bacterial count,6018815.0,,,CFU/ml,ng,h
5,6.0,Bacterial count,3229749.0,,,CFU/ml,ng,h
5,7.0,Bacterial count,3828380.0,,,CFU/ml,ng,h
5,8.0,Bacterial count,725060.0,,,CFU/ml,ng,h
5,9.0,Bacterial count,1680773.0,,,CFU/ml,ng,h
5,10.0,Bacterial count,1057844.0,,,CFU/ml,ng,h
5,11.0,Bacterial count,2610288.0,,,CFU/ml,ng,h
5,12.0,Bacterial count,1698985.0,,,CFU/ml,ng,h
5,13.0,Bacterial count,3723405.0,,,CFU/ml,ng,h
5,14.0,Bacterial count,1890693.0,,,CFU/ml,ng,h
5,15.0,Bacterial count,55276512.0,,,CFU/ml,ng,h
5,16.0,Bacterial count,6412953.0,,,CFU/ml,ng,h
5,17.0,Bacterial count,114239106.0,,,CFU/ml,ng,h
5,18.0,Bacterial count,90491320.0,,,CFU/ml,ng,h
5,19.0,Bacterial count,132874007.0,,,CFU/ml,ng,h
5,20.0,Bacterial count,208421803.0,,,CFU/ml,ng,h
5,21.0,Bacterial count,169926272.0,,,CFU/ml,ng,h
5,22.0,Bacterial count,246203055.0,,,CFU/ml,ng,h
5,23.0,Bacterial count,114129518.0,,,CFU/ml,ng,h
5,24.0,Bacterial count,223228183.0,,,CFU/ml,ng,h
5,25.0,Bacterial count,14056137.0,,,CFU/ml,ng,h
5,26.0,Bacterial count,48229070.0,,,CFU/ml,ng,h
5,27.0,Bacterial count,39936267.0,,,CFU/ml,ng,h
5,28.0,Bacterial count,243322494.0,,,CFU/ml,ng,h
5,29.0,Bacterial count,66002711.0,,,CFU/ml,ng,h
5,30.0,Bacterial count,484770316.0,,,CFU/ml,ng,h
5,31.0,Bacterial count,1532561259.0,,,CFU/ml,ng,h
5,32.0,Bacterial count,1008403184.0,,,CFU/ml,ng,h
5,33.0,Bacterial count,12257016871.0,,,CFU/ml,ng,h
5,34.0,Bacterial count,15047852498.0,,,CFU/ml,ng,h
5,35.0,Bacterial count,35630705187.0,,,CFU/ml,ng,h
5,36.0,Bacterial count,28344753467.0,,,CFU/ml,ng,h
5,37.0,Bacterial count,5076742584.0,,,CFU/ml,ng,h
5,38.0,Bacterial count,3789594841.0,,,CFU/ml,ng,h
5,39.0,Bacterial count,3711828559.0,,,CFU/ml,ng,h
5,40.0,Bacterial count,4658730801.0,,,CFU/ml,ng,h
5,4.0,,,6.0,2500.0,,,h
5,19.0,,,6.0,2500.0,,,h
5,34.0,,,6.0,2500.0,,,h
6,0.0,Bacterial count,116085.0,,,CFU/ml,ng,h
6,1.0,Bacterial count,173994.0,,,CFU/ml,ng,h
6,2.0,Bacterial count,798335.0,,,CFU/ml,ng,h
6,3.0,Bacterial count,2754051.0,,,CFU/ml,ng,h
6,4.0,Bacterial count,9817152.0,,,CFU/ml,ng,h
6,5.0,Bacterial count,4125455.0,,,CFU/ml,ng,h
6,6.0,Bacterial count,847877.0,,,CFU/ml,ng,h
6,7.0,Bacterial count,182725.0,,,CFU/ml,ng,h
6,8.0,Bacterial count,153595.0,,,CFU/ml,ng,h
6,9.0,Bacterial count,111117.0,,,CFU/ml,ng,h
6,10.0,Bacterial count,21203.0,,,CFU/ml,ng,h
6,11.0,Bacterial count,4863.0,,,CFU/ml,ng,h
6,12.0,Bacterial count,5829.0,,,CFU/ml,ng,h
6,13.0,Bacterial count,49831.0,,,CFU/ml,ng,h
6,14.0,Bacterial count,33698.0,,,CFU/ml,ng,h
6,15.0,Bacterial count,17463.0,,,CFU/ml,ng,h
6,16.0,Bacterial count,116333.0,,,CFU/ml,ng,h
6,17.0,Bacterial count,116806.0,,,CFU/ml,ng,h
6,18.0,Bacterial count,365208.0,,,CFU/ml,ng,h
6,19.0,Bacterial count,869533.0,,,CFU/ml,ng,h
6,20.0,Bacterial count,643513.0,,,CFU/ml,ng,h
6,21.0,Bacterial count,936574.0,,,CFU/ml,ng,h
6,22.0,Bacterial count,352582.0,,,CFU/ml,ng,h
6,23.0,Bacterial count,141718.0,,,CFU/ml,ng,h
6,24.0,Bacterial count,166124.0,,,CFU/ml,ng,h
6,25.0,Bacterial count,129940.0,,,CFU/ml,ng,h
6,26.0,Bacterial count,15551.0,,,CFU/ml,ng,h
6,27.0,Bacterial count,40093.0,,,CFU/ml,ng,h
6,28.0,Bacterial count,33942.0,,,CFU/ml,ng,h
6,29.0,Bacterial count,106466.0,,,CFU/ml,ng,h
6,30.0,Bacterial count,97473.0,,,CFU/ml,ng,h
6,31.0,Bacterial count,511555.0,,,CFU/ml,ng,h
6,32.0,Bacterial count,1048972.0,,,CFU/ml,ng,h
6,33.0,Bacterial count,1872487.0,,,CFU/ml,ng,h
6,34.0,Bacterial count,2399516.0,,,CFU/ml,ng,h
6,35.0,Bacterial count,3282874.0,,,CFU/ml,ng,h
6,36.0,Bacterial count,1263509.0,,,CFU/ml,ng,h
6,37.0,Bacterial count,626138.0,,,CFU/ml,ng,h
6,38.0,Bacterial count,1111666.0,,,CFU/ml,ng,h
6,39.0,Bacterial count,255384.0,,,CFU/ml,ng,h
6,40.0,Bacterial count,734921.0,,,CFU/ml,ng,h
6,4.0,,,6.0,5000.0,,,h
6,19.0,,,6.0,5000.0,,,h
6,34.0,,,6.0,5000.0,,,h
7,0.0,Bacterial count,425328.0,,,CFU/ml,ng,h
7,1.0,Bacterial count,1524800.0,,,CFU/ml,ng,h
7,2.0,Bacterial count,159027.0,,,CFU/ml,ng,h
7,3.0,Bacterial count,1862996.0,,,CFU/ml,ng,h
7,4.0,Bacterial count,9011505.0,,,CFU/ml,ng,h
7,5.0,Bacterial count,3993919.0,,,CFU/ml,ng,h
7,6.0,Bacterial count,194320.0,,,CFU/ml,ng,h
7,7.0,Bacterial count,92217.0,,,CFU/ml,ng,h
7,8.0,Bacterial count,19484.0,,,CFU/ml,ng,h
7,9.0,Bacterial count,11924.0,,,CFU/ml,ng,h
7,10.0,Bacterial count,4682.0,,,CFU/ml,ng,h
7,11.0,Bacterial count,1093.0,,,CFU/ml,ng,h
7,12.0,Bacterial count,961.0,,,CFU/ml,ng,h
7,13.0,Bacterial count,2497.0,,,CFU/ml,ng,h
7,14.0,Bacterial count,1958.0,,,CFU/ml,ng,h
7,15.0,Bacterial count,13356.0,,,CFU/ml,ng,h
7,16.0,Bacterial count,27638.0,,,CFU/ml,ng,h
7,17.0,Bacterial count,83268.0,,,CFU/ml,ng,h
7,18.0,Bacterial count,49731.0,,,CFU/ml,ng,h
7,19.0,Bacterial count,287305.0,,,CFU/ml,ng,h
7,20.0,Bacterial count,40174.0,,,CFU/ml,ng,h
7,21.0,Bacterial count,22790.0,,,CFU/ml,ng,h
7,22.0,Bacterial count,22066.0,,,CFU/ml,ng,h
7,23.0,Bacterial count,12993.0,,,CFU/ml,ng,h
7,24.0,Bacterial count,1777.0,,,CFU/ml,ng,h
7,25.0,Bacterial count,826.0,,,CFU/ml,ng,h
7,26.0,Bacterial count,1995.0,,,CFU/ml,ng,h
7,27.0,Bacterial count,638.0,,,CFU/ml,ng,h
7,28.0,Bacterial count,3002.0,,,CFU/ml,ng,h
7,29.0,Bacterial count,2614.0,,,CFU/ml,ng,h
7,30.0,Bacterial count,4597.0,,,CFU/ml,ng,h
7,31.0,Bacterial count,8763.0,,,CFU/ml,ng,h
7,32.0,Bacterial count,30003.0,,,CFU/ml,ng,h
7,33.0,Bacterial count,30894.0,,,CFU/ml,ng,h
7,34.0,Bacterial count,158513.0,,,CFU/ml,ng,h
7,35.0,Bacterial count,35640.0,,,CFU/ml,ng,h
7,36.0,Bacterial count,23453.0,,,CFU/ml,ng,h
7,37.0,Bacterial count,8800.0,,,CFU/ml,ng,h
7,38.0,Bacterial count,11014.0,,,CFU/ml,ng,h
7,39.0,Bacterial count,3791.0,,,CFU/ml,ng,h
7,40.0,Bacterial count,1030.0,,,CFU/ml,ng,h
7,4.0,,,6.0,10000.0,,,h
7,19.0,,,6.0,10000.0,,,h
7,34.0,,,6.0,10000.0,,,h
